"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2005","2005","PER","Persons","3","Thousands",,,10404.22,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10632.72,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10911.88,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2008","2008","PER","Persons","3","Thousands",,,11205.63,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2009","2009","PER","Persons","3","Thousands",,,11441.82,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11628.23,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11814.1,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2012","2012","PER","Persons","3","Thousands",,,11976.4,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2013","2013","PER","Persons","3","Thousands",,,12144.32,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2014","2014","PER","Persons","3","Thousands",,,12286.8,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2015","2015","PER","Persons","3","Thousands",,,12524.53,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2016","2016","PER","Persons","3","Thousands",,,12698.14,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2017","2017","PER","Persons","3","Thousands",,,12977.61,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2018","2018","PER","Persons","3","Thousands",,,13288.11,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2019","2019","PER","Persons","3","Thousands",,,13575.25,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2020","2020","PER","Persons","3","Thousands",,,13550.14,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2021","2021","PER","Persons","3","Thousands",,,13769.49,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2005","2005","PER","Persons","3","Thousands",,,4681.721,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2006","2006","PER","Persons","3","Thousands",,,4800.993,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2007","2007","PER","Persons","3","Thousands",,,4938.061,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2008","2008","PER","Persons","3","Thousands",,,5083.037,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2009","2009","PER","Persons","3","Thousands",,,5207.658,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2010","2010","PER","Persons","3","Thousands",,,5284.923,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2011","2011","PER","Persons","3","Thousands",,,5391.932,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2012","2012","PER","Persons","3","Thousands",,,5479.015,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2013","2013","PER","Persons","3","Thousands",,,5568.422,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2014","2014","PER","Persons","3","Thousands",,,5657.377,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2015","2015","PER","Persons","3","Thousands",,,5790.826,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2016","2016","PER","Persons","3","Thousands",,,5911.28,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2017","2017","PER","Persons","3","Thousands",,,6067.011,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2018","2018","PER","Persons","3","Thousands",,,6235.236,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2019","2019","PER","Persons","3","Thousands",,,6389.137,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2020","2020","PER","Persons","3","Thousands",,,6391.304,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2021","2021","PER","Persons","3","Thousands",,,6523.931,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2005","2005","PER","Persons","3","Thousands",,,5722.503,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2006","2006","PER","Persons","3","Thousands",,,5831.723,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2007","2007","PER","Persons","3","Thousands",,,5973.816,,
