year,cpi
1970,30.9
1971,32.9
1972,34.5
1973,38.6
1974,47.5
1975,53.1
1976,58.1
1977,62.8
1978,65.5
1979,67.9
1980,73.2
1981,76.7
1982,78.9
1983,80.3
1984,82.2
1985,83.8
1986,84.3
1987,84.4
1988,85
1989,86.9
1990,89.6
1991,92.6
1992,94.1
1993,95.4
1994,96
1995,95.9
1996,96
1997,97.7
1998,98.3
1999,98
2000,97.3
2001,96.7
2002,95.8
2003,95.5
2004,95.5
2005,95.2
2006,95.5
2007,95.5
2008,96.8
2009,95.5
2010,94.8
2011,94.5
2012,94.5
2013,94.9
2014,97.5
2015,98.2
2016,98.1
2017,98.6
2018,99.5
2019,100
2020,100
2021,99.8
2022,102.3
2023,105.6
